Date, Close/Last, Volume, Open, High, Low
43819,279.44,68972090,282.23,282.65,278.56
43818,280.02,24626950,279.5,281.18,278.95
43817,279.74,29024690,279.8,281.9,279.12
43816,280.41,28575800,279.57,281.77,278.8
43815,279.86,32081110,277,280.79,276.98
43812,275.15,33432810,271.46,275.3,270.93
43811,271.46,34437040,267.78,272.5599,267.321
43810,270.77,19723390,268.81,271.1,268.5
43809,268.48,22632380,268.6,270.07,265.86
43808,266.92,32182650,270,270.8,264.91
43805,270.71,26547490,267.48,271,267.3
43804,265.58,18661340,263.79,265.89,262.73
43803,261.74,16810390,261.07,263.31,260.68
43802,259.45,29377270,258.31,259.53,256.29
43801,264.16,23693550,267.27,268.25,263.45
43798,267.25,11654360,266.6,268,265.9
43796,267.84,16386120,265.58,267.98,265.31
43795,264.29,26334880,266.94,267.16,262.5
43794,266.37,21029520,262.71,266.44,262.52
